basin_id,kge,seed,nn_model,variant
12048000,0.4740644757834975,111,DeterministicParamModel,deterministic
12054000,0.621459041683249,111,DeterministicParamModel,deterministic
12056500,0.4911602104939242,111,DeterministicParamModel,deterministic
12073500,0.7677426948512083,111,DeterministicParamModel,deterministic
12082500,0.7245203858516301,111,DeterministicParamModel,deterministic
12092000,0.4974776137165317,111,DeterministicParamModel,deterministic
12114500,0.8726302468933491,111,DeterministicParamModel,deterministic
12115000,0.8694658494330858,111,DeterministicParamModel,deterministic
12117000,0.9052450684573224,111,DeterministicParamModel,deterministic
12143600,0.7975625864192926,111,DeterministicParamModel,deterministic
12144000,0.8299894091704825,111,DeterministicParamModel,deterministic
12145500,0.8399744860599956,111,DeterministicParamModel,deterministic
12147500,0.822123019311518,111,DeterministicParamModel,deterministic
12167000,0.7763097313314151,111,DeterministicParamModel,deterministic
12175500,0.5746101247234976,111,DeterministicParamModel,deterministic
12178100,0.7256034609662467,111,DeterministicParamModel,deterministic
12186000,0.5901053400377311,111,DeterministicParamModel,deterministic
12189500,0.7561298080931537,111,DeterministicParamModel,deterministic
12375900,0.5233870955546112,111,DeterministicParamModel,deterministic
12377150,0.5396392070393514,111,DeterministicParamModel,deterministic
12381400,0.5076633860162818,111,DeterministicParamModel,deterministic
12383500,0.3666932264284493,111,DeterministicParamModel,deterministic
12390700,0.634356860966931,111,DeterministicParamModel,deterministic
12411000,0.6412428207046216,111,DeterministicParamModel,deterministic
