variant,target,attribute,parameter,spearman_rho,abs_rho
deterministic,param_mean,glim_2nd_class_frac,parTT,0.22761398929083831,0.22761398929083831
deterministic,param_mean,dom_land_cover,parFC,0.2260546933627407,0.2260546933627407
deterministic,param_mean,elev_mean,parPERC,0.2257908567747891,0.2257908567747891
deterministic,param_mean,silt_frac,parBETA,0.22511451768841914,0.22511451768841914
deterministic,param_mean,lai_max,parK2,0.2249435549218425,0.2249435549218425
deterministic,param_mean,soil_porosity,parK1,0.22492332175424418,0.22492332175424418
deterministic,param_mean,geol_1st_class,parBETA,0.22417222972498874,0.22417222972498874
deterministic,param_mean,geol_1st_class,parK0,-0.22277967529785164,0.22277967529785164
deterministic,param_mean,aridity,parBETA,0.22178126800852466,0.22178126800852466
deterministic,param_mean,gvf_diff,parK2,0.22097640968426824,0.22097640968426824
deterministic,param_mean,root_depth_50,parK2,0.2189765421864446,0.2189765421864446
deterministic,param_mean,geol_1st_class,route_a,0.21896502788871533,0.21896502788871533
deterministic,param_mean,geol_porosity,parLP,-0.21863998659105519,0.21863998659105519
deterministic,param_mean,root_depth_50,parPERC,0.21858856762540493,0.21858856762540493
deterministic,param_mean,high_prec_dur,parTT,0.21832905376546902,0.21832905376546902
deterministic,param_mean,p_seasonality,parK0,-0.21729058942742124,0.21729058942742124
deterministic,param_mean,max_water_content,parUZL,-0.2168044561838997,0.2168044561838997
deterministic,param_mean,clay_frac,parCFR,0.21661765976777692,0.21661765976777692
deterministic,param_mean,dom_land_cover,route_b,-0.21475091080567776,0.21475091080567776
deterministic,param_mean,clay_frac,parK2,0.21392332393831007,0.21392332393831007
deterministic,param_mean,area_gages2,parK1,-0.21372018577223734,0.21372018577223734
deterministic,param_mean,frac_snow,parK1,-0.21349936954577448,0.21349936954577448
deterministic,param_mean,geol_porosity,parK0,-0.21323488674782456,0.21323488674782456
deterministic,param_mean,geol_permeability,route_b,-0.21294095368774466,0.21294095368774466
deterministic,param_mean,pet_mean,parK1,-0.21287524856272436,0.21287524856272436
deterministic,param_mean,frac_snow,parPERC,0.21233928863986867,0.21233928863986867
