paradigm,structure,parameter,parameter_display,threshold,n,median_boundary_distance,q25_boundary_distance,q75_boundary_distance,boundary_rate,base_rate,cn_rate,cn_minus_base,ci95_low,ci95_high
IC,CN,xaj_c,c,0.050000000000000003,531,0,0,0.089299518662826094,0.72693032015065917,,,,,
IC,CN,xaj_cg,cg,0.01,531,0.11367867347976568,0,0.32209958292554974,0.3879472693032015,,,,,
IC,CN,xaj_cg,cg,0.02,531,0.11367867347976568,0,0.32209958292554974,0.41054613935969869,,,,,
IC,CN,xaj_cg,cg,0.050000000000000003,531,0.11367867347976568,0,0.32209958292554974,0.45009416195856872,,,,,
IC,CN,xaj_ci,ci,0.01,531,0.1715839737157201,0,0.31865686342093968,0.32015065913370999,,,,,
IC,CN,xaj_ci,ci,0.02,531,0.1715839737157201,0,0.31865686342093968,0.32015065913370999,,,,,
IC,CN,xaj_ci,ci,0.050000000000000003,531,0.1715839737157201,0,0.31865686342093968,0.34274952919020718,,,,,
IC,CN,xaj_dm,dm,0.01,531,0,0,0.13169856069168756,0.67419962335216577,,,,,
IC,CN,xaj_dm,dm,0.02,531,0,0,0.13169856069168756,0.67984934086629001,,,,,
IC,CN,xaj_dm,dm,0.050000000000000003,531,0,0,0.13169856069168756,0.69679849340866296,,,,,
IC,CN,xaj_ex,ex,0.01,531,0,0,0.1193853412611493,0.61393596986817323,,,,,
IC,CN,xaj_ex,ex,0.02,531,0,0,0.1193853412611493,0.63088512241054617,,,,,
IC,CN,xaj_ex,ex,0.050000000000000003,531,0,0,0.1193853412611493,0.66854990583804141,,,,,
IC,CN,xaj_im,im,0.01,531,0,0,0.011369211670328228,0.74576271186440679,,,,,
IC,CN,xaj_im,im,0.02,531,0,0,0.011369211670328228,0.76271186440677963,,,,,
IC,CN,xaj_im,im,0.050000000000000003,531,0,0,0.011369211670328228,0.7871939736346516,,,,,
IC,CN,xaj_k,k,0.01,531,0.17018321752723339,0.087019400528225793,0.28082043465928375,0.18267419962335216,,,,,
