paradigm,parameter,symbol,subset,omitted_stratum,n_basins,slope,slope_ci_low,slope_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,median_shift,median_ci_low,median_ci_high
dPL,xaj_cg,cg,exclude_S5,S5,476,-0.087859615671595503,-0.28963856675523258,0.092707686683274629,-0.17436370516677638,-0.26249816598420705,-0.089699507948860682,-0.083069105880042571,-0.11832297434161815,-0.058290992418760963
dPL,xaj_cg,cg,leave_out_S1,S1,366,0.22278878825777382,0.10839491935264621,0.34245049776734093,0.15118987230235745,0.049621187927559963,0.24813423379411778,-0.12565529362088768,-0.14712074777381726,-0.099687520712613387
dPL,xaj_cg,cg,leave_out_S2,S2,375,0.012574011399076421,-0.076964034265836964,0.10695731549784737,-0.14334645735660478,-0.23311236153607351,-0.047918517023156255,-0.05451883185358497,-0.086479729170729783,-0.036768027965550232
dPL,xaj_cg,cg,leave_out_S3,S3,410,0.073180400200044737,-0.021826758359602391,0.18122281700454668,-0.16147605712618915,-0.24744303731067216,-0.067126887065240337,-0.076324272471488541,-0.10736237679120333,-0.052390429202417564
dPL,xaj_cg,cg,leave_out_S4,S4,497,0.024508101676191912,-0.081567714692881002,0.13645934699437906,-0.17653467164110725,-0.26815285820354695,-0.09064396546914355,-0.087288311073372482,-0.11948510872962004,-0.068630801112838952
dPL,xaj_cg,cg,leave_out_S5,S5,476,-0.087859615671595503,-0.28572748566185074,0.10642726118474984,-0.17436370516677638,-0.26192715516076109,-0.082194618194555341,-0.083069105880042571,-0.12159241654691408,-0.060078541357166095
dPL,xaj_a,a,exclude_S5,S5,476,0.050493261564263862,-0.10665340463141477,0.23034813845632218,0.050188367994091682,-0.042394296485799995,0.13776814532787895,0.00023865700552894165,-0.0069229001593310068,0.0052468621966135689
dPL,xaj_a,a,leave_out_S1,S1,366,-0.032844763758472936,-0.14996030369887794,0.096736398081221628,-0.070076016474825475,-0.16969517581106647,0.034698860746906542,0.00022703409941556008,-0.012780084136192891,0.0067958310618653284
dPL,xaj_a,a,leave_out_S2,S2,375,-0.013866262351250849,-0.11541818377828614,0.090829957158044428,-0.025393868589083296,-0.13358216924001493,0.068433854270897182,-0.0017879009834782522,-0.0086944702146619646,0.0029603243847657413
dPL,xaj_a,a,leave_out_S3,S3,410,-0.014924355584578299,-0.12014683818280783,0.093274642076752998,-0.038035257532343436,-0.12377107412506373,0.066740153735546398,-0.0015390366821958767,-0.0092664028771220486,0.0017906129949047944
dPL,xaj_a,a,leave_out_S4,S4,497,-0.01501596455157349,-0.13052947744469118,0.11462711499636956,-0.006547553066729727,-0.090529474297493834,0.08390340965849169,-0.00097918513657091477,-0.0070833379869489951,0.0029603243847657413
dPL,xaj_a,a,leave_out_S5,S5,476,0.050493261564263862,-0.12080879611660542,0.23111578711530645,0.050188367994091682,-0.040961669928148536,0.14571267763166956,0.00023865700552894165,-0.0070278855489167014,0.0054649861464002442
dPL,xaj_theta,theta,exclude_S5,S5,476,0.32553122154193159,0.15006340706282084,0.54122635843186617,0.16533746293884369,0.077538447867459059,0.244189320620253,0.0009080025483854115,0.00042532961961114777,0.0015069371729623526
dPL,xaj_theta,theta,leave_out_S1,S1,366,0.11497832662869631,0.02273208184555137,0.20712425270856744,0.06017619080545155,-0.034829269678221225,0.16158698555704026,0.0015496017294935882,0.00086177470366237689,0.0022945802484173328
dPL,xaj_theta,theta,leave_out_S2,S2,375,0.1196890910909633,0.040367192934139054,0.21240719350264978,0.061836355833510208,-0.046146595267555976,0.17316643132016116,0.00080306094605475664,0.00026915265334537253,0.0015970722306519747
dPL,xaj_theta,theta,leave_out_S3,S3,410,0.13220783871887412,0.048506381146846377,0.22400848689998026,0.045409675524176241,-0.058939283494290381,0.14446341661484219,0.0004196992376819253,-3.9789307629689546e-05,0.0009459424763917923
dPL,xaj_theta,theta,leave_out_S4,S4,497,0.089522106931925721,0.013520774733361796,0.18201604621199727,0.11647426637563868,0.025161772423735882,0.20945608212081679,0.00089139374904334545,0.00040162034565582871,0.0014230678789317608
dPL,xaj_theta,theta,leave_out_S5,S5,476,0.32553122154193159,0.14333815955280529,0.51393596902021899,0.16533746293884369,0.063321776473335895,0.26271487110395514,0.0009080025483854115,0.00044114846969023347,0.0015117489096155622
