paradigm,contrast,stratum,n_basins,metric,median,ci_lower,ci_upper
dPL,Base-CN,ExcludeS5,476,prop_between_gt_within,0.83403361344537819,0.80042016806722693,0.86664915966386558
dPL,Base-CN,ExcludeS5,476,prop_excess_gt_0,0.83403361344537819,0.80042016806722693,0.86764705882352944
dPL,Base-CN,S1,165,within_a,0.1035299100526173,0.092176642524213689,0.11058795176220078
dPL,Base-CN,S1,165,within_b,0.1001536940878608,0.093656548616172342,0.10875573928974706
dPL,Base-CN,S1,165,within_pooled,0.10519306744080191,0.098688753917448996,0.11726218179123003
dPL,Base-CN,S1,165,between_all,0.13223309958029966,0.12436014964740995,0.15097381130656379
dPL,Base-CN,S1,165,excess,0.018614034456662154,0.007092124790726545,0.025960506394481928
dPL,Base-CN,S1,165,prop_between_gt_within,0.70303030303030301,0.63636363636363635,0.76363636363636367
dPL,Base-CN,S1,165,prop_excess_gt_0,0.70303030303030301,0.63030303030303025,0.76969696969696966
dPL,Base-CN,S2,156,within_a,0.091444678287659384,0.084450871005459893,0.10161990272489921
dPL,Base-CN,S2,156,within_b,0.095714503531367734,0.088071028998240763,0.10499945840589769
dPL,Base-CN,S2,156,within_pooled,0.097710590975010808,0.092524246142815167,0.10349660023890545
dPL,Base-CN,S2,156,between_all,0.16526149732238976,0.14705244966263589,0.18525791662156044
dPL,Base-CN,S2,156,excess,0.055701699831684805,0.046090340129006133,0.081526073994784704
dPL,Base-CN,S2,156,prop_between_gt_within,0.87179487179487181,0.8141025641025641,0.91666666666666663
dPL,Base-CN,S2,156,prop_excess_gt_0,0.87179487179487181,0.8141025641025641,0.92307692307692313
dPL,Base-CN,S3,121,within_a,0.096638778729663866,0.08990945924830418,0.10541366731132795
dPL,Base-CN,S3,121,within_b,0.098200916896641802,0.087974622746442799,0.10769483049250686
dPL,Base-CN,S3,121,within_pooled,0.10555644982363763,0.099567302893258963,0.11218385429335551
dPL,Base-CN,S3,121,between_all,0.23333924444547274,0.19684360215030577,0.28246647097619426
dPL,Base-CN,S3,121,excess,0.12667214869502766,0.096544312611609021,0.1672054484153597
dPL,Base-CN,S3,121,prop_between_gt_within,0.92561983471074383,0.87603305785123964,0.97128099173553695
