record_type,family,paradigm,model,period,metric,n,ci_low,ci_high,resamples,seed,method,status,effect,analysis_set,wilcoxon_p,sign_test_p,robustness_type,block_count,block_source,claim_id,summary_level,result_role,bootstrap_statistic,snow_stratum,snow_interval,stratum_n,valid_year_requirement,signature,comparison,metric_unit
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,pbias,156,6.0128700230996186,10.724643326341877,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,pbias,165,8.2831608238272789,13.074024256439152,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,pbias,34,-6.2847544509427697,2.831786260829229,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,pbias,531,6.0192730780152575,8.6104404686567335,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,pbias,55,-5.6041874480214844,5.6352444373335233,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,rmse,121,1.404636833033259,1.6651558212666306,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,rmse,156,1.2462731850782507,1.4841410357004412,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,rmse,165,1.2586677024781616,1.5439829638115019,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,rmse,34,0.63057170220941761,2.6628474938254048,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,rmse,531,1.2939363267060129,1.458922692366613,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,test,rmse,55,0.81533254003205957,1.3155169868350189,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,train,kge,121,0.85820314911452811,0.87476322947532248,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,train,kge,156,0.85741996554170341,0.87148547154027001,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S2,"[0.05, 0.15)",156,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,train,kge,165,0.86778036272878656,0.89254865468349953,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S1,"[0, 0.05)",165,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,train,kge,34,0.83643879343121952,0.87443580300263668,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S4,"[0.30, 0.50)",34,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,train,kge,531,0.84326100065956566,0.85908915803153441,10000,20260730,ordinary_basin_bootstrap,valid_daily_recomputation,,,,,,,,,,,,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,train,kge,531,0.86822373488005478,0.87763878476436308,10000,20260730,ordinary_basin_bootstrap_median,valid_full_sample,,all_531_basins,,,,,,,full_sample,primary,median,,,,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,train,kge,55,0.89764704514949401,0.92575355560269623,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S5,"[0.50, 1.00]",55,,,,
bootstrap,absolute_metric,IC-CMA-ES,XAJ-CN,train,nse,121,0.71592583263196707,0.75154760819086508,10000,20260730,ordinary_basin_bootstrap_median,valid_snow_stratum,,snow_fixed_strata,,,,,,,snow_stratum,stratified_primary,median,S3,"[0.15, 0.30)",121,,,,
