basin_id,paradigm,period,effect,effect_value,status,metric,effect_family,estimand,seed_count,seed_or_restart,model,structure,analysis_set
01047000,IC-CMA-ES,test_minus_train,E_TGD-Base,-0.011686881389665201,valid,kge,generalization_exposure,(KGE_XAJ-TGD_test - KGE_XAJ-Base_test) - (KGE_XAJ-TGD_train - KGE_XAJ-Base_train),,,XAJ-TGD,,
01047000,IC-CMA-ES,train,CN-Base,0.29622014088879711,valid,kge,structural,KGE_CN_Base,,,,,
01047000,IC-CMA-ES,train,CN-Base_train,0.29622014088879711,valid,kge,generalization_exposure,KGE_XAJ-CN_train - KGE_XAJ-Base_train,,,XAJ-CN,,
01047000,IC-CMA-ES,train,CN-TGD,0.24432682378547721,valid,kge,structural,KGE_CN_TGD,,,,,
01047000,IC-CMA-ES,train,CN-TGD_train,0.24432682378547721,valid,kge,generalization_exposure,KGE_XAJ-CN_train - KGE_XAJ-TGD_train,,,XAJ-CN,,
01047000,IC-CMA-ES,train,TGD-Base,0.051893317103319903,valid,kge,structural,KGE_TGD_Base,,,,,
01047000,IC-CMA-ES,train,TGD-Base_train,0.051893317103319903,valid,kge,generalization_exposure,KGE_XAJ-TGD_train - KGE_XAJ-Base_train,,,XAJ-TGD,,
01047000,IC-dPL,test,B_IC_minus_dPL,-0.028900350162235577,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01047000,IC-dPL,test,B_IC_minus_dPL,0.013338911738653314,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01047000,IC-dPL,test,B_IC_minus_dPL,0.022784562255931839,valid,kge,tgd_transfer,B_IC_minus_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01047000,IC-dPL,test,IC_minus_dPL,-0.028900350162235501,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-Base,,
01047000,IC-dPL,test,IC_minus_dPL,0.0133389117386533,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-CN,,
01047000,IC-dPL,test,IC_minus_dPL,0.022784562255931801,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-TGD,,
01047000,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.0057055537130338285,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01047000,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.032371895226576353,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01047000,IC-dPL,test_minus_train,D_IC_minus_dPL,-0.062280094005490283,valid,kge,tgd_transfer,D_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01047000,IC-dPL,train,A_IC_minus_dPL,0.028490115968965668,valid,kge,tgd_transfer,A_IC_minus_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01047000,IC-dPL,train,A_IC_minus_dPL,0.033379743843254706,valid,kge,tgd_transfer,A_IC_minus_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01047000,IC-dPL,train,A_IC_minus_dPL,0.045710806965229667,valid,kge,tgd_transfer,A_IC_minus_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01047000,IC-dPL,train,IC_minus_dPL,0.028490115968965501,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-TGD,,
01047000,IC-dPL,train,IC_minus_dPL,0.033379743843254601,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-Base,,
01047000,IC-dPL,train,IC_minus_dPL,0.0457108069652295,median_across_dpl_seeds,kge,ic_dpl_transfer,KGE_IC - median_seed(KGE_dPL),3,,XAJ-CN,,
01047000,IC-dPL,train_minus_test,G_IC,-0.0436959755304136,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01047000,IC-dPL,train_minus_test,G_IC,-0.055382856920078827,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01047000,IC-dPL,train_minus_test,G_IC,0.03444922429925934,valid,kge,tgd_transfer,G_IC,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01047000,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.0057055537130338285,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01047000,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.032371895226576353,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01047000,IC-dPL,train_minus_test,G_IC_minus_G_dPL,0.062280094005490283,valid,kge,tgd_transfer,G_IC_minus_G_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01047000,IC-dPL,train_minus_test,G_dPL,-0.049401529243447428,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-TGD,XAJ-TGD,r1_remaining_transfer_full_sample
01047000,IC-dPL,train_minus_test,G_dPL,-0.11766295092556911,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-Base,XAJ-Base,r1_remaining_transfer_full_sample
01047000,IC-dPL,train_minus_test,G_dPL,0.0020773290726829874,valid,kge,tgd_transfer,G_dPL,,matched_primary,XAJ-CN,XAJ-CN,r1_remaining_transfer_full_sample
01047000,dPL-MLP,test,CN-Base,0.1619522295695123,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01047000,dPL-MLP,test,CN-Base_test,0.1619522295695123,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
01047000,dPL-MLP,test,CN-TGD,0.17668557715151931,median_across_seeds,kge,structural,,3,median_across_seeds,,,
01047000,dPL-MLP,test,CN-TGD_test,0.17668557715151931,median_across_seeds,kge,generalization_exposure,,3,median_across_seeds,XAJ-CN,,
