basin_id,paradigm,model,period,seed_or_restart,ct_error_signed,ct_error_abs,amjj_error_signed,amjj_error_abs
01123000,dPL-MLP,XAJ-Base,test,selected_restart,-9.2,9.466666666666669,-0.0590476729533621,0.0590476729533621
01123000,dPL-MLP,XAJ-TGD,test,selected_restart,-9.733333333333333,10.266666666666667,-0.058092831379329,0.058092831379329
01123000,dPL-MLP,XAJ-CN,test,selected_restart,1.6666666666666667,5.4,-0.0218303281129945,0.0246127743004143
01134500,IC-CMA-ES,XAJ-Base,test,selected_restart,-11.133333333333333,18.866666666666667,-0.1626561117415725,0.1626561117415725
01134500,IC-CMA-ES,XAJ-TGD,test,selected_restart,11.733333333333333,11.733333333333333,0.0426887211953502,0.0530676430104037
01134500,IC-CMA-ES,XAJ-CN,test,selected_restart,12.666666666666666,12.666666666666666,0.0623709875101746,0.0645817561075286
01134500,dPL-MLP,XAJ-Base,test,selected_restart,-21.666666666666668,22.33333333333333,-0.1593913318956989,0.1593913318956989
01134500,dPL-MLP,XAJ-TGD,test,selected_restart,4.6,6.2,-0.0039198082928954,0.0410239672596974
01134500,dPL-MLP,XAJ-CN,test,selected_restart,15.133333333333333,15.133333333333333,0.0883140859757762,0.0883140859757762
01137500,IC-CMA-ES,XAJ-Base,test,selected_restart,-32.06666666666667,32.06666666666667,-0.1640602987055608,0.1640602987055608
01137500,IC-CMA-ES,XAJ-TGD,test,selected_restart,9.533333333333331,12.466666666666669,0.0587584573979547,0.0667844574569368
01137500,IC-CMA-ES,XAJ-CN,test,selected_restart,13.866666666666667,15.866666666666667,0.0839135725255182,0.0905402422863944
01137500,dPL-MLP,XAJ-Base,test,selected_restart,-31.73333333333333,31.73333333333333,-0.1584934166118134,0.1584934166118134
01137500,dPL-MLP,XAJ-TGD,test,selected_restart,1.7333333333333334,7.6,0.0080883879418542,0.0389718893594104
01137500,dPL-MLP,XAJ-CN,test,selected_restart,11.533333333333331,14.6,0.0530116874928644,0.0639261859945764
01139000,IC-CMA-ES,XAJ-Base,test,selected_restart,-24.066666666666663,24.066666666666663,-0.1489295639937423,0.1489295639937423
01139000,IC-CMA-ES,XAJ-TGD,test,selected_restart,9.4,10.6,0.0208698542569773,0.0472199827124017
01139000,IC-CMA-ES,XAJ-CN,test,selected_restart,15.4,15.4,0.0605484278653757,0.0605484278653757
01139000,dPL-MLP,XAJ-Base,test,selected_restart,-13.466666666666669,14.533333333333331,-0.1247751383329732,0.1248983641230603
01139000,dPL-MLP,XAJ-TGD,test,selected_restart,5.333333333333333,8.4,-0.0019066461270355,0.0386482745100397
01139000,dPL-MLP,XAJ-CN,test,selected_restart,17.266666666666666,17.266666666666666,0.0699499400113718,0.0699499400113718
01139800,IC-CMA-ES,XAJ-Base,test,selected_restart,-32.93333333333333,32.93333333333333,-0.1943022415502658,0.1943022415502658
01139800,IC-CMA-ES,XAJ-TGD,test,selected_restart,9.866666666666667,10.0,0.0329880073205838,0.0539237197394647
01139800,IC-CMA-ES,XAJ-CN,test,selected_restart,11.466666666666669,12.133333333333333,0.0500563178992479,0.0674237903113641
01139800,dPL-MLP,XAJ-Base,test,selected_restart,-27.73333333333333,28.8,-0.185466867234686,0.185466867234686
01139800,dPL-MLP,XAJ-TGD,test,selected_restart,6.733333333333333,7.0,0.0068806344803382,0.0445927567088276
01139800,dPL-MLP,XAJ-CN,test,selected_restart,12.4,12.933333333333334,0.0524921093917101,0.0668432529921807
01142500,IC-CMA-ES,XAJ-Base,test,selected_restart,-19.666666666666668,19.666666666666668,-0.1465468053523119,0.1465468053523119
01142500,IC-CMA-ES,XAJ-TGD,test,selected_restart,10.866666666666667,11.533333333333331,0.03625357006953,0.0505118794857823
01142500,IC-CMA-ES,XAJ-CN,test,selected_restart,12.0,12.133333333333333,0.0459082330759946,0.0511662572668444
01142500,dPL-MLP,XAJ-Base,test,selected_restart,-22.6,22.6,-0.1510390584174211,0.1510390584174211
01142500,dPL-MLP,XAJ-TGD,test,selected_restart,8.866666666666667,9.666666666666666,0.0143202230827594,0.0409667958897984
01142500,dPL-MLP,XAJ-CN,test,selected_restart,12.933333333333334,13.2,0.0590338036911273,0.0624759991087743
01144000,IC-CMA-ES,XAJ-Base,test,selected_restart,-27.33333333333333,27.33333333333333,-0.1536711520578762,0.1536711520578762
01144000,IC-CMA-ES,XAJ-TGD,test,selected_restart,7.866666666666666,7.866666666666666,0.0187684837354917,0.0347039997481141
01144000,IC-CMA-ES,XAJ-CN,test,selected_restart,11.866666666666667,11.866666666666667,0.0518180910124082,0.0518180910124082
01144000,dPL-MLP,XAJ-Base,test,selected_restart,-22.466666666666665,22.466666666666665,-0.1452524758007427,0.1452524758007427
01144000,dPL-MLP,XAJ-TGD,test,selected_restart,6.666666666666667,6.933333333333334,0.0073813441766996,0.0252246554790142
01144000,dPL-MLP,XAJ-CN,test,selected_restart,12.933333333333334,12.933333333333334,0.0670756402982969,0.0670756402982969
