metric,summary_level,period,snow_stratum,stratum_n,paradigm,model,median,q25,q75,iqr,mean,std,bootstrap_ci_low,bootstrap_ci_high
kge,snow_stratum,test,S4,34,dPL-MLP,XAJ-TGD,0.6188118220450558,0.5032307748164745,0.685124428539259,0.18189365372278454,0.5603895241792607,0.18523943619132155,0.5520300563896801,0.6565232686969178
kge,snow_stratum,test,S5,55,dPL-MLP,XAJ-TGD,0.6608589790183357,0.5557898407473347,0.719234343926987,0.1634445031796523,0.6276755537645103,0.14875459659101326,0.5996627423011919,0.6859537343558153
kge,full_sample,test,full_sample,531,dPL-MLP,XAJ-CN,0.7602297357920599,0.646444631327186,0.8188113803057693,0.17236674897858328,0.6925286813246112,0.20120930600069303,0.7415398822093608,0.7693831483394943
nse,full_sample,test,full_sample,531,dPL-MLP,XAJ-CN,0.6722182490024569,0.5641223997608267,0.7278708112904808,0.16374841152965414,0.6079022472583806,0.19114884070065835,0.6544628880988927,0.6809139909225195
pbias,full_sample,test,full_sample,531,dPL-MLP,XAJ-CN,3.8011486789602995,3.2322231566359303,4.094056901528846,0.8618337448929161,3.462643406623056,1.0060465300034651,3.7076994110468044,3.8469157416974715
rmse,full_sample,test,full_sample,531,dPL-MLP,XAJ-CN,0.39181621136635214,0.3449508957553846,0.4828442949382512,0.13789339918286658,0.44597705494031104,0.16096744480055444,0.3844934813284046,0.4067680942325113
kge,snow_stratum,test,S1,165,dPL-MLP,XAJ-CN,0.755856901236798,0.6211330153869568,0.8213590565420612,0.20022604115510445,0.67624215962024,0.22717310786300443,0.7265015588056161,0.7738075431955442
kge,snow_stratum,test,S2,156,dPL-MLP,XAJ-CN,0.7499717943361137,0.6545785896207932,0.8135008467553553,0.1589222571345621,0.7048900456753889,0.182774505774406,0.7193822082943028,0.7734457781611247
kge,snow_stratum,test,S3,121,dPL-MLP,XAJ-CN,0.7415418500412986,0.6275801940120928,0.812247822538184,0.1846676285260912,0.6756141522628261,0.2127658457228005,0.7041937509547089,0.7709742675479528
kge,snow_stratum,test,S4,34,dPL-MLP,XAJ-CN,0.70004479757492,0.5714176854463201,0.8011617025766367,0.22974401713031656,0.6627323119770151,0.17870562319691027,0.6396440222830283,0.7924551627990812
kge,snow_stratum,test,S5,55,dPL-MLP,XAJ-CN,0.8017568199650321,0.7457013560197873,0.8424361579212385,0.09673480190145123,0.7619584598117789,0.12135775249085091,0.7688530869172214,0.8246596783191605
