basin_id,paradigm,period,seed_or_restart,signature,first_model,second_model,effect_value,status,analysis_set,valid_years,effect_family,snow_stratum,snow_interval,stratum_n
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-Base,XAJ-CN,0.077433232261516702,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-Base,XAJ-CN,0.077433232261516702,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-Base,XAJ-TGD,0.088427187479607205,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-Base,XAJ-TGD,0.088427187479607205,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-Base,XAJ-TGD,0.088427187479607205,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-TGD,XAJ-CN,-0.0109939552180905,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-TGD,XAJ-CN,-0.0109939552180905,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,AMJJ,XAJ-TGD,XAJ-CN,-0.0109939552180905,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,CT,XAJ-Base,XAJ-CN,21,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,CT,XAJ-Base,XAJ-CN,21,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,CT,XAJ-Base,XAJ-CN,21,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,CT,XAJ-Base,XAJ-TGD,25.5,valid,all_available,,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,CT,XAJ-Base,XAJ-TGD,25.5,valid,primary_min5_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
01022500,dPL-MLP,train,seed_123,CT,XAJ-Base,XAJ-TGD,25.5,valid,sensitivity_min3_seed,14,signature_error_reduction,S3,"[0.15, 0.30)",121
