metric,period,paradigm,effect,summary_level,snow_stratum,stratum_n,valid_basin_count,median,bootstrap_ci_low,bootstrap_ci_high,fraction_positive,model
ct_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S4,32,32,3.633333333333333,1.3333333333333321,12.411666666666658,,
ct_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S5,49,49,37.86666666666667,34.2,40.06666666666667,,
ct_error_abs,test,dPL-MLP,CN-TGD,full_sample,full_sample,515,515,0.40000000000000213,0.1999999999999993,0.7999999999999972,,
ct_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S1,161,161,-0.06666666666666643,-0.33333333333333215,0.20000000000000284,,
ct_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S2,155,155,0.7999999999999989,0.3999999999999986,1.200000000000001,,
ct_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S3,118,118,-0.633333333333332,-2.3341666666666674,0.3333333333333326,,
ct_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S4,32,32,0.7476190476190476,-2.200000000000001,5.199999999999999,,
ct_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S5,49,49,6.133333333333331,4.1949999999999985,8.866666666666669,,
ct_error_abs,test,dPL-MLP,CN-Base,full_sample,full_sample,531,531,0.8666666666666671,0.3999999999999986,1.2666666666666657,,
ct_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S1,165,165,-0.13333333333333286,-0.33333333333333215,0.06666666666666643,,
ct_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S2,156,156,0.3000000000000025,-0.033333333333333215,0.9333333333333336,,
ct_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S3,121,121,3.133333333333331,0.46666666666666856,4.199999999999999,,
ct_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S4,34,34,12.766666666666666,8.0,21.76666666666667,,
ct_error_abs,test,dPL-MLP,CN-Base,snow_stratum,S5,55,55,46.13333333333333,39.0,48.0,,
amjj_error_abs,test,IC-CMA-ES,TGD-Base,full_sample,full_sample,531,531,0.004568090165135999,0.0035407382779142,0.005905876060326901,,
amjj_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S1,165,165,0.0008417469353994012,2.249261023504201e-06,0.0022715131441752023,,
amjj_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S2,156,156,0.002690249584120799,0.0012318649843309007,0.0042013035681313475,,
amjj_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S3,121,121,0.00815871762802911,0.005490038893613797,0.011757045984268195,,
amjj_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S4,34,34,0.03200754319934616,0.010062665740648902,0.097275841248624,,
amjj_error_abs,test,IC-CMA-ES,TGD-Base,snow_stratum,S5,55,55,0.2322090597863493,0.20426638953387743,0.2860481358458643,,
amjj_error_abs,test,IC-CMA-ES,CN-TGD,full_sample,full_sample,531,531,0.003437556855254202,0.002195426899390493,0.0048646556387538994,,
amjj_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S1,165,165,0.00030858692846939817,-0.0004943388203779986,0.0011193310325885962,,
amjj_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S2,156,156,0.002672266960144054,0.0014890250125788995,0.004434025851394446,,
amjj_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S3,121,121,0.0105190688849221,0.006255260391066997,0.0151166690491705,,
amjj_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S4,34,34,0.0377666804955845,0.015256439222386509,0.0659704104386535,,
amjj_error_abs,test,IC-CMA-ES,CN-TGD,snow_stratum,S5,55,55,0.024830467374502802,0.0144547767759656,0.038509848258293095,,
amjj_error_abs,test,IC-CMA-ES,CN-Base,full_sample,full_sample,531,531,0.008406990269819906,0.006937150840976999,0.009985073316656542,,
amjj_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S1,165,165,0.0006695573528607973,-7.255822420119962e-05,0.0020354300737380968,,
amjj_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S2,156,156,0.006418208049354595,0.004698342280359774,0.007903093232957435,,
amjj_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S3,121,121,0.02784019309391301,0.019383597299303293,0.0340697599363676,,
amjj_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S4,34,34,0.10472284505904214,0.07040754096748861,0.14019709960385454,,
amjj_error_abs,test,IC-CMA-ES,CN-Base,snow_stratum,S5,55,55,0.2852406162658715,0.2220752370853398,0.3247136808046514,,
amjj_error_abs,test,dPL-MLP,TGD-Base,full_sample,full_sample,515,515,0.0015159462889035996,0.0009550882691503997,0.0024581452756472916,,
amjj_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S1,161,161,-0.00025545314271689656,-0.0008461055667172979,0.0006103098392487016,,
amjj_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S2,155,155,0.0005476097265878985,-0.0008587062358856,0.0014254523983407985,,
amjj_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S3,118,118,0.004663512798782651,0.001155299703610019,0.007651897877182978,,
amjj_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S4,32,32,0.04538531061501146,0.006621560951073913,0.1267289148344748,,
amjj_error_abs,test,dPL-MLP,TGD-Base,snow_stratum,S5,49,49,0.2553526711262144,0.2257975278554162,0.2765318052858159,,
amjj_error_abs,test,dPL-MLP,CN-TGD,full_sample,full_sample,515,515,0.003171637471249697,0.0019802351792652974,0.0040662793145973125,,
amjj_error_abs,test,dPL-MLP,CN-TGD,snow_stratum,S1,161,161,0.0008643770555843006,-0.00016332887280700106,0.0018051112691560983,,
