basin_id,paradigm,E_param_base,E_param_tgd,C15_base,C15_tgd,E_param_cn,seed,E_param_excess_base,E_param_excess_tgd,G_base,G_TGD_ko,frac_snow,snow_stratum
05362000,dPL,0.2460700912754045,0.1217087879116013,0.2249237908257378,0.1689525842666626,0.0941539773606979,42.0,0.1519161139147066,0.02755481055090339,0.0049349677739457,0.19528108761661023,0.174430982504896,S3
05362000,dPL,0.1127253402776608,0.1435822610129524,0.1618892321219811,0.1137443525450569,0.0790572753145227,123.0,0.03366806496313811,0.06452498569842971,0.0238096613093908,0.20199672648124734,0.174430982504896,S3
05362000,dPL,0.2457575433407218,0.1723296692632304,0.2324999372164408,0.1427905612521701,0.0891167375554153,2026.0,0.1566408057853065,0.0832129317078151,0.01476926319206,0.21004949402584827,0.174430982504896,S3
05393500,IC,0.1502219138481639,0.224141239365209,0.2437526772089166,0.2129479057974289,0.1011558758327862,,0.04906603801537772,0.1229853635324228,0.0800129191621734,0.3244449119021596,0.19616986570515,S3
05393500,dPL,0.1917915090469288,0.1077958721451664,0.1976056416829427,0.2102041746440686,0.0867144180144318,42.0,0.10507709103249699,0.02108145413073459,0.0500194485445801,0.30420282215801586,0.19616986570515,S3
05393500,dPL,0.2231433569460467,0.1543288270149569,0.2448958502875433,0.1751113789422171,0.0779795242156036,123.0,0.1451638327304431,0.0763493027993533,0.0548626171372624,0.3002841746303776,0.19616986570515,S3
05393500,dPL,0.2217341971797435,0.1208953441852374,0.2121885511610243,0.1767769593458908,0.0817351739830276,2026.0,0.1399990231967159,0.0391601702022098,0.0545768474803091,0.30397228446430347,0.19616986570515,S3
05399500,IC,0.1799771743263085,0.2632802503997956,0.2417696155368941,0.2984531236384737,0.0705942247949922,,0.1093829495313163,0.19268602560480338,0.0335608560008477,0.21566071366571093,0.156958255923397,S3
05399500,dPL,0.2468913310000141,0.1051795887388183,0.1302982330322265,0.0906664133071899,0.0638015811614355,42.0,0.1830897498385786,0.0413780075773828,0.0144962725932068,0.2181147918833649,0.156958255923397,S3
05399500,dPL,0.1616430323683582,0.1161179560911653,0.1477366842721638,0.0874495932034084,0.0533014190215689,123.0,0.1083416133467893,0.0628165370695964,0.0212956132130873,0.1887725451017146,0.156958255923397,S3
05399500,dPL,0.2262693246661393,0.0916981655991711,0.1339134986584003,0.0499472022056579,0.094004034257194,2026.0,0.1322652904089453,-0.0023058686580229026,0.0174415820928462,0.19125970240247203,0.156958255923397,S3
05408000,IC,0.2855034102636018,0.1963024463404245,0.1383456288901375,0.1614669576113012,0.044166990383576,,0.24133641988002583,0.15213545595684852,0.0215348988264401,0.043165889817999625,0.140156645371,S2
05408000,dPL,0.1619237223415995,0.0442183828655983,0.0889299104088231,0.0720980763435363,0.0489514104284137,42.0,0.1129723119131858,-0.004733027562815399,-0.0029631375549432,0.03978488188691798,0.140156645371,S2
05408000,dPL,0.1347532443685091,0.0807217348585957,0.1139835781521266,0.0760319232940673,0.0594849006434028,123.0,0.07526834372510631,0.0212368342151929,0.0187968551732975,0.04203354308015039,0.140156645371,S2
05408000,dPL,0.2075859457333842,0.0535909514526744,0.1429065905119243,0.060010552406311,0.0507510331786912,2026.0,0.156834912554693,0.002839918273983201,0.0085482013709705,0.03840351605946779,0.140156645371,S2
05413500,IC,0.2309870564530203,0.2663426952390819,0.2784694920999296,0.2784694920999296,0.0359578993163926,,0.19502915713662772,0.2303847959226893,0.0234127940373043,0.05179613258721438,0.124159245932601,S2
05413500,dPL,0.2247760503836257,0.0540361846534815,0.138937771320343,0.0329958541052682,0.0283088635793807,42.0,0.196467186804245,0.0257273210741008,0.0099716100364664,0.0438349781580204,0.124159245932601,S2
05413500,dPL,0.2295191024134673,0.0606038075875504,0.1405053880479599,0.0387417799548099,0.0290087197611845,123.0,0.2005103826522828,0.0315950878263659,0.0098755292028279,0.0347397959735638,0.124159245932601,S2
05413500,dPL,0.2066473767884162,0.0801105924779906,0.1374189257621765,0.0503462553024292,0.0307120114094284,2026.0,0.1759353653789878,0.0493985810685622,0.0037877368253118,0.036100474330486354,0.124159245932601,S2
