basin_id,paradigm,snow_stratum,frac_snow,excess_base_cn,excess_base_tgd,delta_excess,is_delta_excess_positive,is_base_cn_between_gt_within,is_base_tgd_between_gt_within
03011800,IC,S3,0.210192690903197,0.038610663850841699,0.032551932590208998,0.0060587312606327007,True,True,True
03015500,IC,S3,0.192038519147369,0.0012730299975519,-0.00071895924203500003,0.0019919892395869002,True,True,False
03021350,IC,S3,0.208263538884948,0.024873187293755299,0.062274836179848997,-0.037401648886093694,False,True,True
03026500,IC,S3,0.20981494015044591,-0.0049588395462365998,-0.0035088576781049999,-0.0014499818681316,False,False,False
03028000,IC,S3,0.203474312123818,0.0076046091122258996,0.0070272308397761997,0.00057737827244969987,True,True,True
03049000,IC,S2,0.139333377128464,0.0422842980805401,0.0306394962611252,0.0116448018194149,True,True,True
03049800,IC,S2,0.11634190936220901,0.0281629988027709,0.0056258723129180999,0.022537126489852802,True,True,True
03050000,IC,S3,0.15896445715893401,0.024233076808862299,0.0280422796694909,-0.0038092028606286008,False,True,True
03069500,IC,S3,0.19464463043211591,0.0060334720695202999,0.0162633500884726,-0.010229878018952299,False,True,True
03070500,IC,S2,0.14472559244248501,0.0279189172715563,0.0151738781857349,0.0127450390858214,True,True,True
03076600,IC,S3,0.18939550051741891,-0.0123002166399333,0.010281821355604501,-0.022582037995537801,False,False,True
03078000,IC,S3,0.194625437344426,0.0106552759533403,-0.019303067997533799,0.0299583439508741,True,True,False
03140000,IC,S2,0.089458478461506605,-0.0207632760854762,-0.0030645646588593001,-0.0176987114266169,False,False,False
03144000,IC,S2,0.093602404857988597,-0.030402153526995299,-0.026774622133346498,-0.0036275313936488009,False,False,False
03170000,IC,S2,0.094558583623871997,-0.0154836079236901,0.0138706272191441,-0.029354235142834202,False,False,True
03173000,IC,S2,0.094200099357257303,-0.0020936813393094,-0.0254409106760628,0.0233472293367534,True,False,False
03180500,IC,S3,0.19530302328476401,-0.0030461358280227,0.0039826728750567003,-0.0070288087030794004,False,False,True
03182500,IC,S3,0.17025308114365501,0.031585346218371897,0.024940124094471699,0.0066452221239001984,True,True,True
03186500,IC,S3,0.1907316712122,-0.0038923717129117001,0.013061374083492099,-0.0169537457964038,False,False,True
03237280,IC,S2,0.084730638123859697,0.024791597347099101,0.010502194397959101,0.014289402949140001,True,True,True
03237500,IC,S2,0.078710401691654802,0.018411751639816801,-0.018413842174218899,0.036825593814035704,True,True,False
03238500,IC,S2,0.074738531297333405,-0.0205723635995563,-0.020622049001121402,4.9685401565101317e-05,True,False,False
03241500,IC,S2,0.077946751954855301,0.0036025586027969999,0.012736306319249401,-0.0091337477164524002,False,True,True
03280700,IC,S2,0.058446084784334301,0.038306124850550002,0.014902315667803701,0.023403809182746302,True,True,True
03281500,IC,S1,0.044067880842997002,0.027006423656726099,-0.016387861396239999,0.043394285052966095,True,True,False
03285000,IC,S1,0.0446468108120254,-0.0084685788719651,-0.0210171755446419,0.0125485966726768,True,False,False
03291780,IC,S2,0.067368653261533101,0.0037127684183686002,0.016062375818871402,-0.012349607400502801,False,True,True
03338780,IC,S2,0.072550319375576905,-0.0051780146177832003,0.0195811468888865,-0.024759161506669701,False,False,True
03340800,IC,S2,0.073228668042685796,0.016987566976744799,-0.00556193809011,0.022549505066854797,True,True,False
03346000,IC,S2,0.0621069652969444,-0.015759916177650699,0.019691462142207801,-0.035451378319858499,False,False,True
