basin_id,paradigm,regime,contrast,D_rms,D_euclidean,frac_snow,snow_stratum
03237500,IC,IC,Base-CN,0.46040910354664893,1.7831567904784573,0.078710401691654802,S2
03238500,IC,IC,Base-CN,0.25680365010623268,0.99459626010671576,0.074738531297333405,S2
03241500,IC,IC,Base-CN,0.14428640630631154,0.55881884870846132,0.077946751954855398,S2
03280700,IC,IC,Base-CN,0.34046976978820298,1.3186337482767834,0.058446084784334301,S2
03281500,IC,IC,Base-CN,0.31175955591136068,1.2074395680657199,0.044067880842997002,S1
03285000,IC,IC,Base-CN,0.45610214050834058,1.7664759943583583,0.0446468108120254,S1
03291780,IC,IC,Base-CN,0.58623595335979062,2.2704820843104971,0.067368653261533101,S2
03338780,IC,IC,Base-CN,0.12483863449292532,0.48349795235437454,0.072550319375576905,S2
03340800,IC,IC,Base-CN,0.32444278137717231,1.256561489071002,0.073228668042685893,S2
03346000,IC,IC,Base-CN,0.46152977423561259,1.7874971293933966,0.062106965296944497,S2
03364500,IC,IC,Base-CN,0.56426542901504684,2.1853906094158599,0.080417057581499404,S2
03366500,IC,IC,Base-CN,0.58615236450750718,2.2701583460776749,0.059067129172147001,S2
03368000,IC,IC,Base-CN,0.44796412381817924,1.7349575912462054,0.067085866366636396,S2
03384450,IC,IC,Base-CN,0.4124791336610612,1.5975248153273531,0.049672530624243601,S1
03439000,IC,IC,Base-CN,0.46967916841758089,1.8190595973418395,0.037466091820604903,S1
03455500,IC,IC,Base-CN,0.52517684252464558,2.0340011649117473,0.077431416620489704,S2
03456500,IC,IC,Base-CN,0.14888110138561492,0.5766140262315046,0.063873676649555802,S2
03460000,IC,IC,Base-CN,0.26758465185630015,1.0363509003401601,0.077253343718732007,S2
03463300,IC,IC,Base-CN,0.34236744308795092,1.3259834053632495,0.0849163900758962,S2
03471500,IC,IC,Base-CN,0.37152765403510818,1.4389204167334848,0.083871169608870796,S2
03473000,IC,IC,Base-CN,0.26358921668500696,1.02087664646089,0.083266733051582498,S2
03479000,IC,IC,Base-CN,0.2013223506793643,0.7797181114005074,0.090417123752087894,S2
03488000,IC,IC,Base-CN,0.35757984834412276,1.3849007975761611,0.081549051514082205,S2
03498500,IC,IC,Base-CN,0.077048982429857998,0.2984094257930679,0.034370778926631498,S1
03500000,IC,IC,Base-CN,0.30550678751842608,1.183222700212192,0.029248917912040599,S1
03500240,IC,IC,Base-CN,0.23020700014439344,0.89158787773960424,0.029394718558517,S1
03504000,IC,IC,Base-CN,0.3271283411300473,1.266962617269132,0.058991229141726297,S2
03574500,IC,IC,Base-CN,0.43475516117176355,1.6837994988959617,0.0200681785915394,S1
03592718,IC,IC,Base-CN,0.25470119397479546,0.9864534825235276,0.014910912031414401,S1
03604000,IC,IC,Base-CN,0.60425406167429396,2.3402659177427294,0.025599076093284399,S1
04015330,IC,IC,Base-CN,0.57891769144333904,2.2421385777848961,0.19607939008931799,S3
04024430,IC,IC,Base-CN,0.37339102960936177,1.4461372393002987,0.16086675873940001,S3
04027000,IC,IC,Base-CN,0.414407220398325,1.6049922631508191,0.23500008473092299,S3
04040500,IC,IC,Base-CN,0.50724080932531201,1.9645352070337052,0.30960760043406699,S4
04043050,IC,IC,Base-CN,0.61393526780085073,2.3777610678420857,0.299401075000363,S3
04045500,IC,IC,Base-CN,0.53436738152917196,2.0695959694189479,0.30007981527701799,S4
04057510,IC,IC,Base-CN,0.51657925453393871,2.0007028498061867,0.25313469288636897,S3
04057800,IC,IC,Base-CN,0.32601297146122621,1.2626428091169231,0.33424673648474801,S4
04059500,IC,IC,Base-CN,0.48946917452569749,1.8957059614199181,0.235319790957285,S3
04063700,IC,IC,Base-CN,0.5489080201794897,2.1259116207548483,0.21196610998486901,S3
04074950,IC,IC,Base-CN,0.3755796038648484,1.4546135509437366,0.20327298331476901,S3
04105700,IC,IC,Base-CN,0.33226639868367869,1.2868622286062015,0.15457894366362401,S3
04115265,IC,IC,Base-CN,0.32170300998267148,1.2459504000876851,0.17692366303835999,S3
04122200,IC,IC,Base-CN,0.2784807651072132,1.0785513654993362,0.175430988197981,S3
04122500,IC,IC,Base-CN,0.39611671295223672,1.5341534324184365,0.18431791306315101,S3
04127918,IC,IC,Base-CN,0.48645115718788179,1.8840172305319924,0.29025406037326201,S3
04127997,IC,IC,Base-CN,0.43702224074316026,1.6925798603205082,0.26806161510467302,S3
04161580,IC,IC,Base-CN,0.38846013124024931,1.5044996189590329,0.15767314702308599,S3
04185000,IC,IC,Base-CN,0.45055569660228151,1.744994709479518,0.12520344899268601,S2
04196800,IC,IC,Base-CN,0.31342526479177568,1.2138908308191969,0.099311648741759004,S2
