basin_id,frac_snow,snow_stratum,delta_abs_CT_Base_CN_XAJ_IC,n_seeds_XAJ_IC,delta_abs_CT_Base_CN_XAJ_dPL,n_seeds_XAJ_dPL,delta_abs_CT_Base_CN_GR4J_IC,n_seeds_GR4J_IC,delta_abs_CT_Base_CN_GR4J_dPL,n_seeds_GR4J_dPL,delta_abs_CT_Base_CN_SIMHYD_IC,n_seeds_SIMHYD_IC,delta_abs_CT_Base_CN_SIMHYD_dPL,n_seeds_SIMHYD_dPL
04224775,0.204650190587357,S3,-2.0,1,-6.0,3,28.0,1,19.0,3,-6.0,1,-4.5,2
04233000,0.169532329377697,S3,9.0,1,8.0,3,28.0,1,23.0,3,-7.0,1,0.0,2
04256000,0.279703584506989,S3,28.0,1,20.0,3,47.0,1,43.0,3,4.0,1,12.0,2
03010655,0.207261759338099,S3,-2.0,1,-2.0,3,23.0,1,23.0,3,-13.0,1,-7.5,2
03011800,0.210192690903197,S3,-15.0,1,-16.0,3,9.0,1,4.0,3,3.0,1,-12.0,2
03015500,0.192038519147369,S3,1.0,1,-7.0,3,23.0,1,22.0,3,0.0,1,10.0,2
03021350,0.208263538884948,S3,-21.0,1,-25.0,3,8.0,1,10.0,3,-15.0,1,-20.0,2
03026500,0.209814940150446,S3,-3.0,1,-11.0,3,20.0,1,17.0,3,-14.0,1,-9.0,2
03028000,0.203474312123818,S3,-14.0,1,-10.0,3,18.0,1,17.0,3,-11.0,1,-9.0,2
03049000,0.139333377128464,S2,7.0,1,3.0,3,22.0,1,18.0,3,0.0,1,0.0,2
03049800,0.116341909362209,S2,21.0,1,6.0,3,4.0,1,10.0,3,1.0,1,7.0,2
03050000,0.158964457158934,S3,14.0,1,17.0,3,3.0,1,17.0,3,5.0,1,1.0,2
03069500,0.194644630432116,S3,-9.0,1,-10.0,3,7.0,1,22.0,3,-5.0,1,-5.5,2
03070500,0.144725592442485,S2,-6.0,1,-10.0,3,14.0,1,12.0,3,-5.0,1,2.5,2
03076600,0.189395500517419,S3,6.0,1,3.0,3,20.0,1,19.0,3,-2.0,1,-4.0,2
03078000,0.194625437344426,S3,-6.0,1,-5.0,3,7.0,1,10.0,3,-2.0,1,-3.0,2
03140000,0.0894584784615066,S2,3.0,1,1.0,3,10.0,1,9.0,3,0.0,1,10.0,2
03144000,0.0936024048579887,S2,3.0,1,0.0,3,10.0,1,13.0,3,5.0,1,8.5,2
03170000,0.0945585836238721,S2,-4.0,1,-3.0,3,-4.0,1,-6.0,3,-4.0,1,-6.0,2
03173000,0.0942000993572573,S2,-2.0,1,10.0,3,7.0,1,7.0,3,11.0,1,5.5,2
03180500,0.195303023284764,S3,9.0,1,7.0,3,22.0,1,24.0,3,-2.0,1,-2.0,2
03182500,0.170253081143655,S3,15.0,1,11.0,3,19.0,1,22.0,3,3.0,1,-2.5,2
03186500,0.1907316712122,S3,-10.0,1,-9.0,3,10.0,1,8.0,3,-2.0,1,-3.5,2
03237280,0.0847306381238598,S2,7.0,1,-13.0,3,-12.0,1,2.0,3,-4.0,1,-1.5,2
03237500,0.0787104016916548,S2,2.0,1,3.0,3,-4.0,1,4.0,3,-1.0,1,0.0,2
03238500,0.0747385312973334,S2,1.0,1,1.0,3,0.0,1,4.0,3,0.0,1,2.0,2
03241500,0.0779467519548554,S2,-1.0,1,-1.0,3,11.0,1,9.0,3,2.0,1,-0.5,2
03280700,0.0584460847843343,S2,1.0,1,7.0,3,4.0,1,8.0,3,-7.0,1,4.0,2
03281500,0.044067880842997,S1,8.0,1,9.0,3,3.0,1,1.0,3,1.0,1,-5.0,2
03285000,0.0446468108120254,S1,2.0,1,1.0,3,1.0,1,3.0,3,-1.0,1,0.5,2
03291780,0.0673686532615331,S2,0.0,1,1.0,3,-1.0,1,6.0,3,-1.0,1,-1.5,2
03338780,0.0725503193755769,S2,2.0,1,1.0,3,6.0,1,0.0,3,6.0,1,4.0,2
03340800,0.0732286680426859,S2,4.0,1,0.0,3,11.0,1,1.0,3,0.0,1,-3.0,2
03346000,0.0621069652969445,S2,3.0,1,-3.0,3,5.0,1,9.0,3,0.0,1,-0.5,2
03364500,0.0804170575814994,S2,-2.0,1,1.0,3,3.0,1,0.0,3,0.0,1,0.5,2
03366500,0.059067129172147,S2,0.0,1,0.0,3,1.0,1,4.0,3,1.0,1,0.0,2
03368000,0.0670858663666364,S2,0.0,1,0.0,3,-2.0,1,-1.0,3,-1.0,1,5.5,2
