basin_id,regime,paradigm,structure,model,period,seed_or_restart,selected_run,frac_snow,snow_stratum,KGE,signed_CT_error,absolute_CT_error,valid_year_count,valid_days,valid_metric,NSE,PBIAS,RMSE,provenance_source
01134500,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.280582089228151,S3,0.8569718039856964,12.0,12.0,15,5479.0,True,0.7336681258850044,-5.028257350174949,1.474199042599506,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01134500,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.280582089228151,S3,0.7056480617312499,6.0,6.0,15,5479.0,True,0.4790236205677878,-3.1192290677289023,2.061833392037152,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01137500,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.301814975818189,S4,0.6308620155509503,-35.0,35.0,15,5479.0,True,0.2775817579412183,-4.672912412399498,2.903800425293218,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01137500,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.301814975818189,S4,0.8209580397886083,9.0,9.0,15,5479.0,True,0.6872178437266984,-7.780917426238713,1.910703931277672,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01137500,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.301814975818189,S4,0.6512363916341687,5.0,5.0,15,5479.0,True,0.35503784666795113,-6.40801515658838,2.7437183505329106,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01137500,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.301814975818189,S4,0.6040763156164567,-34.0,34.0,15,5479.0,True,0.29176079681698275,-10.417872697448619,2.875162489515629,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01137500,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.301814975818189,S4,0.7975162042206773,10.0,10.0,15,5479.0,True,0.6613980447990686,-8.582499939698122,1.988003493748858,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01137500,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.301814975818189,S4,0.6419314082194737,3.0,3.0,15,5479.0,True,0.40755436043487747,-7.075180724820328,2.629642234014054,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139000,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.246562671549799,S3,0.5963586155718283,-14.0,14.0,15,5479.0,True,0.16106954542336027,3.6968502971583215,1.8200974816441962,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139000,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.246562671549799,S3,0.871632112177832,12.0,12.0,15,5479.0,True,0.743933497837096,1.3919377778486859,1.0055601478779495,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139000,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.246562671549799,S3,0.7457643432167405,4.0,4.0,15,5479.0,True,0.4922596708727871,2.039730744312056,1.415964935335799,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139000,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.246562671549799,S3,0.6019176094811325,-9.0,9.0,15,5479.0,True,0.22617584647562072,-2.3271521103498576,1.7480458080723944,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139000,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.246562671549799,S3,0.8687645821559677,13.0,13.0,15,5479.0,True,0.7350130490334796,0.14075261881275605,1.022925282303567,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139000,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.246562671549799,S3,0.7378935964898883,4.0,4.0,15,5479.0,True,0.5104243020834248,-0.44043813820252453,1.390405875921512,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139800,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.26232897318021,S3,0.35872985349653363,-31.0,31.0,15,5479.0,True,-0.4511161651133275,13.650036167414504,2.338905453938357,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139800,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.26232897318021,S3,0.6980725807626827,12.0,12.0,15,5479.0,True,0.5057894774381212,12.503093258219995,1.364952601368777,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139800,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.26232897318021,S3,0.6787880825380259,10.0,10.0,15,5479.0,True,0.38499741610740834,12.963523602614051,1.522649859535746,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139800,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.26232897318021,S3,0.3929248324303237,-19.0,19.0,15,5479.0,True,-0.2695340163119442,10.14396067522322,2.1876797536227692,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139800,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.26232897318021,S3,0.7140578730922944,16.0,16.0,15,5479.0,True,0.49977898909576235,12.523065745536375,1.3732276561482013,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01139800,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.26232897318021,S3,0.711528294843475,8.0,8.0,15,5479.0,True,0.43597793781994476,11.2897788507083,1.458174914347069,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01142500,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.252307890542821,S3,0.5140060733769325,-17.0,17.0,15,5479.0,True,0.007196953223667757,11.353756241283753,2.1722503796146264,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01142500,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.252307890542821,S3,0.830466541788673,5.0,5.0,15,5479.0,True,0.7319109286857236,9.741974298942527,1.128802301659163,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01142500,IC-CMA-ES,IC-CMA-ES,TGD,XAJ-TGD,test,selected_restart,True,0.252307890542821,S3,0.7283641489239169,7.0,7.0,15,5479.0,True,0.4836047857025021,11.53397572054216,1.5666408103233809,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01142500,dPL-MLP,dPL-MLP,Base,XAJ-Base,test,median_across_seeds,True,0.252307890542821,S3,0.5170887883991939,-20.0,20.0,15,5479.0,True,0.11391302676183113,7.009637779928625,2.0521849913418286,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01142500,dPL-MLP,dPL-MLP,CN,XAJ-CN,test,median_across_seeds,True,0.252307890542821,S3,0.817215008407093,11.0,11.0,15,5479.0,True,0.6983427863461034,9.245430635389098,1.1973887922674742,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01142500,dPL-MLP,dPL-MLP,TGD,XAJ-TGD,test,median_across_seeds,True,0.252307890542821,S3,0.7268023127605732,7.0,7.0,15,5479.0,True,0.47508921367305423,9.468570169417772,1.5795052716336289,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01144000,IC-CMA-ES,IC-CMA-ES,Base,XAJ-Base,test,selected_restart,True,0.248466348504845,S3,0.5419514502679313,-28.0,28.0,15,5479.0,True,0.021130506285835238,9.366486704699081,2.339284618892757,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
01144000,IC-CMA-ES,IC-CMA-ES,CN,XAJ-CN,test,selected_restart,True,0.248466348504845,S3,0.8283597707578363,9.0,9.0,15,5479.0,True,0.7316446175359186,8.391654822439671,1.2248300237674778,r1_basin_level_performance_rebuilt.csv + r1_basin_level_ct.csv
